uid,atom_index,atomic_number,element,x,y,z
500,10,6,C,1.874897,-1.125862,0.0
500,11,1,H,-3.391932,-0.239378,0.0
500,12,8,O,-1.836617,1.924581,0.0
500,13,1,H,-2.809267,1.991843,0.0
500,14,1,H,-2.527198,-2.558209,0.0
500,15,1,H,-0.081003,-2.989001,0.0
500,16,1,H,0.554969,2.538036,0.0
500,17,1,H,2.991994,2.088609,0.0
500,18,1,H,3.839292,-0.247475,0.0
500,19,1,H,2.243921,-2.147437,0.0
498,1,6,C,0.0,0.695134,0.0
498,2,6,C,-0.804043,-0.496673,0.0
498,3,6,C,-0.151116,-1.772185,0.0
498,4,6,C,1.220287,-1.8849,0.0
498,5,6,C,2.004917,-0.709589,0.0
498,6,6,C,1.392051,0.577309,0.0
498,7,6,C,-0.64338,1.969726,0.0
498,8,6,C,-2.0307,2.060633,0.0
498,9,6,C,-2.805624,0.894929,0.0
498,10,6,C,-2.195997,-0.374782,0.0
498,11,8,O,3.332007,-0.708251,0.0
498,12,1,H,2.037333,1.450637,0.0
498,13,1,H,1.698421,-2.860365,0.0
498,14,1,H,-0.762756,-2.670131,0.0
498,15,1,H,-0.033537,2.868654,0.0
498,16,1,H,-2.511353,3.033269,0.0
498,17,1,H,-3.888932,0.964351,0.0
498,18,1,H,-2.815382,-1.267341,0.0
498,19,1,H,3.701774,-1.610689,0.0
476,1,6,C,0.0,0.45915,0.0
476,2,6,C,0.496275,-0.884758,0.0
476,3,6,C,-0.409311,-1.97723,0.0
476,4,6,C,-1.796965,-1.768522,0.0
476,5,6,C,-2.308372,-0.48648,0.0
476,6,6,C,-1.440132,0.648065,0.0
476,7,6,C,0.92031,1.519624,0.0
476,8,6,C,2.293216,1.274624,0.0
476,9,6,C,2.781485,-0.038406,0.0
476,10,6,C,1.893063,-1.105396,0.0
476,11,1,H,-3.382294,-0.322721,0.0
476,12,7,N,-1.993083,1.866966,0.0
476,13,1,H,-2.472135,-2.617818,0.0
476,14,1,H,-0.014922,-2.989053,0.0
476,15,1,H,0.589734,2.554251,0.0
476,16,1,H,2.984419,2.111312,0.0
476,17,1,H,3.851285,-0.220454,0.0
476,18,1,H,2.263448,-2.126406,0.0
476,19,1,H,-2.999723,1.980982,0.0
476,20,1,H,-1.445643,2.717124,0.0
474,1,6,C,0.0,0.695315,0.0
474,2,6,C,-0.827356,-0.483371,0.0
474,3,6,C,-0.192655,-1.774081,0.0
474,4,6,C,1.164523,-1.910786,0.0
474,5,6,C,1.991255,-0.742966,0.0
474,6,6,C,1.389046,0.552948,0.0
474,7,6,C,-0.620363,1.982835,0.0
474,8,6,C,-1.998863,2.096541,0.0
474,9,6,C,-2.798044,0.939503,0.0
474,10,6,C,-2.215782,-0.336404,0.0
474,11,7,N,3.327675,-0.852106,0.0
474,12,1,H,2.025423,1.434525,0.0
474,13,1,H,1.627675,-2.89291,0.0
474,14,1,H,-0.822227,-2.659459,0.0
474,15,1,H,0.006173,2.870392,0.0
474,16,1,H,-2.465118,3.07639,0.0
474,17,1,H,-3.87977,1.032257,0.0
474,18,1,H,-2.849566,-1.218793,0.0
474,19,1,H,3.929949,-0.037625,0.0
474,20,1,H,3.783172,-1.757223,0.0
425,1,6,C,0.312536,0.699925,0.009221
425,2,6,C,0.312539,-0.699927,-0.009227
425,3,6,C,-0.951851,-1.493379,0.018085
425,4,6,C,-2.277406,-0.715678,0.243642
425,5,6,C,-2.277435,0.715668,-0.243501
425,6,6,C,-0.951853,1.493377,-0.018123
425,7,6,C,1.525249,1.403334,0.023223
425,8,6,C,2.728697,0.699162,0.014012
425,9,6,C,2.728699,-0.699159,-0.013963
425,10,6,C,1.525253,-1.403335,-0.023208
425,11,1,H,-3.051192,1.301268,0.258675
425,12,1,H,-2.455418,0.770421,-1.325703
425,13,8,O,-0.960962,2.699318,0.068586
425,14,1,H,-3.051233,-1.301275,-0.258428
425,15,8,O,-0.960968,-2.699308,-0.068768
425,16,1,H,1.503824,2.488611,0.034144
425,17,1,H,3.667144,1.245268,0.025894
425,18,1,H,3.667147,-1.245262,-0.025832
425,19,1,H,1.503831,-2.488611,-0.034124
425,20,1,H,-2.455234,-0.770428,1.325871
423,1,6,C,0.0,0.626697,0.0
423,2,6,C,0.492799,-0.715711,0.0
423,3,6,C,1.897302,-0.95414,0.0
423,4,6,C,2.803069,0.114952,0.0
423,5,6,C,2.340283,1.420918,0.0
423,6,6,C,0.940926,1.686822,0.0
423,7,6,C,-1.400946,0.851662,0.0
423,8,6,C,-2.293825,-0.201677,0.0
423,9,6,C,-1.814323,-1.527248,0.0
423,10,6,C,-0.424015,-1.780605,0.0
423,11,1,H,3.039494,2.25341,0.0
423,12,8,O,0.466662,2.929933,0.0
423,13,1,H,1.178778,3.594296,0.0
423,14,1,H,3.870449,-0.079098,0.0
423,15,1,H,2.26435,-1.976063,0.0
423,16,1,H,-1.772042,1.870854,0.0
423,17,1,H,-3.365559,-0.036175,0.0
423,18,1,H,-0.059107,-2.804985,0.0
423,19,8,O,-2.727091,-2.500842,0.0
423,20,1,H,-2.320546,-3.384982,0.0
421,1,6,C,-0.004948,0.716634,0.0
421,2,6,C,0.004948,-0.716634,0.0
421,3,6,C,1.219861,-1.417225,0.0
421,4,6,C,2.439089,-0.716454,0.0
421,5,6,C,2.465172,0.670297,0.0
421,6,6,C,1.258672,1.395979,0.0
421,7,6,C,-1.219861,1.417225,0.0
421,8,6,C,-2.439089,0.716454,0.0
421,9,6,C,-2.465172,-0.670297,0.0
421,10,6,C,-1.258672,-1.395979,0.0
421,11,1,H,3.412858,1.202659,0.0
